2018-06-05 18:19:54 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-06-05 18:19:54 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-06-05 18:19:54 install libkeyutils1:amd64 <none> 1.5.9-9
2018-06-05 18:19:54 status half-installed libkeyutils1:amd64 1.5.9-9
2018-06-05 18:19:54 status unpacked libkeyutils1:amd64 1.5.9-9
2018-06-05 18:19:54 status unpacked libkeyutils1:amd64 1.5.9-9
2018-06-05 18:19:54 install libkrb5support0:amd64 <none> 1.15-1+deb9u1
2018-06-05 18:19:54 status half-installed libkrb5support0:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 install libk5crypto3:amd64 <none> 1.15-1+deb9u1
2018-06-05 18:19:54 status half-installed libk5crypto3:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 install libkrb5-3:amd64 <none> 1.15-1+deb9u1
2018-06-05 18:19:54 status half-installed libkrb5-3:amd64 1.15-1+deb9u1
2018-06-05 18:19:54 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-06-05 18:19:55 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-06-05 18:19:55 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u1
2018-06-05 18:19:55 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-06-05 18:19:55 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-06-05 18:19:55 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-06-05 18:19:55 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2018-06-05 18:19:55 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-06-05 18:19:55 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-06-05 18:19:55 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-06-05 18:19:55 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2018-06-05 18:19:55 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2018-06-05 18:19:55 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-06-05 18:19:55 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-06-05 18:19:55 install libnghttp2-14:amd64 <none> 1.18.1-1
2018-06-05 18:19:55 status half-installed libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 install libpsl5:amd64 <none> 0.17.0-3
2018-06-05 18:19:55 status half-installed libpsl5:amd64 0.17.0-3
2018-06-05 18:19:55 status unpacked libpsl5:amd64 0.17.0-3
2018-06-05 18:19:55 status unpacked libpsl5:amd64 0.17.0-3
2018-06-05 18:19:55 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-1+b1
2018-06-05 18:19:55 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-06-05 18:19:55 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
